"count","num","text"
"381","1","!Полностью разочаровалась в ПАО Сбербанк!"
"382","1","Очередной обман Сбербанка и списывание денег"
"383","1","Ненадежный банк"
"384","1","Резко негативное впечатление, я даже не ожидал такого уровня сервиса"
"385","1","Отвратительный банк"
"386","1","Сбербанк скатился"
"387","1","ШАРАШКИНА КОНТОРА"
"388","1","Самый ужасный банк"
"389","1","Бегите из сбербанка"
"390","1","Ужасно"
"391","1","Ухудшают жизнь клиента!"
"392","1","отвратительный банк"
"393","1","Ужас!"
"394","1","Обман клиентов в банкоматах"
"395","1","Мародеры!"
"396","1","Биометрия без согласия"
"397","1","!Полностью разочаровалась в ПАО Сбербанк!"
"398","1","Очередной обман Сбербанка и списывание денег"
"399","1","Ненадежный банк"
"400","1","Резко негативное впечатление, я даже не ожидал такого уровня сервиса"
"401","1","Отвратительный банк"
"402","1","Сбербанк скатился"
"403","1","ШАРАШКИНА КОНТОРА"
"404","1","Самый ужасный банк"
"405","1","Бегите из сбербанка"
"406","1","Ужасно"
"407","1","Ухудшают жизнь клиента!"
"408","1","Отрицательное"
"409","1","Списали бонусы"
"410","1","Крайне негативное впечатление"
"411","1","Это РАЗВОД !"
"412","1","самый воровской банк"
"413","1","Лжецы"
"414","1","самый ужасный банк в мире!"
"415","1","Удобно, но не надёжно, как оказалось."
"416","1","Навязывание товаров и услуг партнеров"
"417","1","Обман"
"418","1","Отвратительная организация"
"419","1","Хапуги"
"420","1","Отвратное"
"421","1","Не законное списание"
"422","1","Отвратительно"
"423","1","Этот банк перестал быть порядочным и приличным"
"424","1","Банк жуликов"
"425","1","Дно"
"426","1","Отвратительное отношение к проблемам клиентов"
"427","1","сбербанк нарофоминск не берите кредиты, обман под 30 процентов"
"428","1","сбербанк России -ни чего общего с цивилизацией"
"429","1","Ужасно"
"430","1","Наглость!"
"431","1","Гнилой банк"
"432","1","Сбербанк оставил меня без средств необоснованно заблокировав дебетовую карту."
"433","1","""все для людей"""
"434","1","ну такое , не рыба не мясо"
"435","1","Введены комиссии за внутрирегиональные переводы внутри банка с карты на карту"
"436","1","Не осведомленность сотрудников"
"437","1","Очень плохой и крайне жадный банк"
"438","1","Конец эпохи сбербанка"
"439","1","Ужасный банк"
"440","1","Худший банк, и персонал"
"441","1","Ужас ужасный"
"442","1","Не знаю что есть хорошего"
"443","1","Впечатления ужасные."
"444","1","Я не хочу оставаться клиентом этой организации"
"445","1","Не советую данный банк!"
"446","1","Делитанты, мородеры и [цензура]"
"447","1","Самый неприятный банк, который можно придумать."
"448","1","Самый отвратительный банк"
"449","1","Ужасный банк"
"450","1","Карантин.Сбербанк.Комиссии онлайн за любые переводы.Сбербанк наживается на людской беде."
"451","1","отказ в ипотечных каникулах"
"452","1","Развод и запугивание"
"453","1","Кредит для поддержки бизнеса"
"454","1","Сбербанк списывает деньги по закрытым исполнительным производствам"
"455","1","Будьте внимательны! Оформляйте кредит без страховки."
"456","1","Не понравился"
"457","1","Мошенники украли деньги без Вашего подтверждения? Работники банка не станут ничего делать."
"458","1","КРЕДИТЫ И ПОСЛЕДСТВИЯ"
"459","1","Воровство со счета, отказ принять очевидные доказательства. Подрисовка данных в отчетах"
"460","1","Абсурдная организация технической поддержки пользователей по телефону"
"461","1","Не впечатлило ни разу"
"462","1","Самая конченная организация"
"463","1","Нет доверия"
"464","1","Полное надувательство"
"465","1","Ни о чем"
"466","1","Не отвечают за безопасность денежных средств"
"467","1","Ненависть и злоба к этому банку."
"468","1","Отношение к клиенту отвратительное,Самовольное подключения платных услуг"
"469","1","Сбербанк не возвращает МОИ деньги"
"470","1","Вы это не Вы! Паспорт РФ не документ!"
"471","1","Отношение Сбербанка к клиентам и уровень удобства обслуживания ниже плинтуса"
"472","1","не компетенция в отделе кадров наумова юлия николаевна"
"473","1","Сбербанк самый ужасный банк! Полный игнор моей проблемы, заблокировали мне вход в банк онлайн!"
"474","1","Сказ о том, как Сбербанк имеет моСК потенциальным клиентам"
"475","1","Сбер Банк может и не плохой, но вот сотрудники..., иной раз, очень даже огорчают!"
"476","1","Сбер- это уровень обмена шкурок на еду. Не выше."
"477","1","Ужас, не советую!"
"478","1","Сбербанк это дно."
"479","1","Просто ужас !"
"480","1","Наглость и издевательство."
"481","1","Не прошёл платеж, но деньги списались - ничего не докажете !"
"482","1","С карты сбербанка украдены деньги"
"483","1","Незаконно переводят средства"
"484","1","Сбербанк - быстро выдает кредиты третьим лицам."
"485","1","бандитский,грабительский банк"
"486","1","Ужас, а не банк!"
"487","1","затягивают оформление закладной после погашения ипотеки. Сильная подстава, теряем в деньгах"
"488","1","кровососы"
"489","1","Плохой банк"
"490","1","Впечатление полностью негативное"
"491","1","очень плохо"
"492","1","Обманывают!"
"493","1","Ни стыда ни совести!"
"494","1","Ужасный банк"
"495","1","Шокирован отношением!"
"496","1","Удивительный банк незнаек."
"497","1","Сбербанк ворует деньги"
"498","1","Ужасное обслуживание"
"499","1","*"
"500","1","Самый отстойный банк"
"501","1","нормально"
"502","1","Совершенно некомпетентные сотрудники в г.Лобня!"
"503","1","Разочарование."
"504","1","Обман, [цензура]"
"505","1","Куда исчезли деньги на ""энное"" время?"
"506","1","Безответственность и пофигизм"
"507","1","Нарушение закона и Отказ в выдачи закладной."
"508","1","Никогда и никому не посоветую!"
"509","1","Банк предоставляет доступ в личный кабинет третьим лицам"
"510","1","Худший банк"
"511","1","Ужасный банк"
"512","1","Хрень полная"
"513","1","Самый веселый банк"
"514","1","Не признают закон"
"515","1","поганая организация"
"516","1","Обдираловка простого народа"
"517","1","Отношения к клиенту ужасное. Долго и нервно"
"518","1","-1"
"519","1","Не понятно по каким критериям оценивают платежеспособность!"
"520","1","Не реагирует на [цензура] со стороны своих сотрудников."
"521","1","САМЫЙ БЕСПОЛЕЗНЫЙ, АБСУРДНЫЙ, НЕ ЧЕСТНЫЙ БАНК ИЗ ВСЕХ ЧИО Я ПОЛЬЗОВАЛСЯ."
"522","1","Сбербанк России -Мы поможем Вас ограбить"
"523","1","обман с кредитами"
"524","1","Доп.офис №9038/01232 обман пенсионера"
"525","1","Не посоветую точно"
"526","1","залезли в какрман..."
"527","1","Отвратительный банк"
"528","1","Украли деньги с карты, а возвращать не хотят!"
"529","1","Враги народа"
"530","1","Сбербанк обманывает людей"
"531","1","Безобразие и обман пожилого человека"
"532","1","Чтоб Греф не спал. Слов нет"
"533","1","ужасный сервис"
"534","1","Банк стал полным Ерьмом, может и был."
"535","1","[цензура], ложь и глупые правила сбера"
"536","1","Сбербанк отвратное обслуживание"
"537","1","Сбербанк это ДНО, хуже банка не бывает!"
"538","1","полное дно"
"539","1","Ужасное отношение к ИП, блокировка по 115-фз"
"540","1","Будьте внимательны и не верьте никому"
"541","1","Совершенно отрицательное!"
"542","1","сотрудница банка занимается обманом"
"543","1","Полное неуважение к клиентам"
"544","1","Вроде солидный банк а продукты выпускает сырые (""Спасибо"")"
"545","1","Наплевательское отношение к клиентам"
"546","1","Негатив"
"547","1","[цензура]в отделении Сбербанка по адресу Рязанский проспект д. 59/1."
"548","1","ужас, как и многое в гос.структуре"
"549","1","Для цифровой экономики ещё рановато"
"550","1","Негативное"
"551","1","Грубость и хамство"
"552","1","Хороший банк до тех пор, пока пользуются твоими деньгами, а помощь не оказывают."
"553","1","Просто кошмар"
"554","1","Аккредтив в сбере - никогда!"
"555","1","Хуже банка нет ..."
"556","1","Не солидное поведение по отношению к пенсионерам"
"557","1","Списывают деньги и блокируют карты"
"558","1","Отвратительное обслуживание."
"559","1","Просто нет слов!"
"560","1","Ради выгоды не гнушатся заниматься [цензура], навязыванием услуг с использованием невнимательности и доверия людей"
"561","1","Звонок якобы из Сбербанка."
"562","1","Обман и не желание понять"
"563","1","Ужасный банк"
"564","1","Самый ужасный банк"
"565","1","Ужасно неудобно"
"566","1","очень плохо"
"567","1","Сам Бог отвёл!"
"568","1","Пользуютя деньгами клиентов без их согласия"
"569","1","Банка хуже я еще не встречал"
"570","1","г...банк"
"571","1","Негативное"
"572","1","Обыкновенные клерки"
"573","1","ниже плинтуса"
"574","1","Самый ненадёжный банк!"
"575","1","превратились в контору по отъёму денег"
"576","1","Деньги терминал не зачислил, сбой! Возврат неделю."
"577","1","Один из худших"
"578","1","Недобросовестная работа"
"579","1","Adios, Сбербанк!"
"580","1","ВСЁ ХУЖЕ И ХУЖЕ С КАЖДЫМ ДНЕМ! КРИК ДУШИ! СПАСАЙТЕ ВАШИ ДЕНЬГИ ОТ БАНКА!"
"581","1","тупизм или издевательство"
"582","1","Отвратительное обслуживание"
"583","1","Отвратительно, праценты бешаные"
"584","1","СБЕРБАНК ВОРУЕТ ДЕНЬГИС КАРТЫ"
"585","1","Банк со своими заморочками."
"586","1","ВОРОВСТВО ДЕНЕГ, УСТАРЕВШИЕ БАНКОМАТЫ, ОТВРАТИТЕЛЬНАЯ РАБОТА ПО ОБРАЩЕНИЯМ"
"587","1","[цензура]"
"588","1","ОТВРАТИТЕЛЬНО"
"589","1","Разочаровалась в данном банке."
"590","1","Равнодушно-наплевательское отношение к клиентам"
"591","1","ужасное место"
"592","1","Некомпетентность и наглость"
"593","1","Наглый монстр"
"594","1","Разочарована банком!"
"595","1","А зачем он там?"
"596","1","Ужас а не банк!"
"597","1","Комиссия."
"598","1","Сбербанк движется в будущее без спроса, в ужасное будущее…"
"599","1","Ошибочно списывают средства. Чем дальше тем отвратительнее обслуживание"
"600","1","Навязывание условий, скрытые комиссии, грабительская политика при снятии наличных с кредитной карты"
"601","1","Отвратительное отношение к своим клиентам."
"602","1","столкнулся с бедой"
"603","1","Им плевать на своих клиентов. Не решают проблемы."
"604","1","Халатное отношение к клиенту, больше связываться не хочу"
"605","1","Не рекомендую, лучше выбрать альтернативу!"
"606","1","Я в ужасе"
"607","1","Сплошные проблемы"
"608","1","Бюрократия и умение найти проблемы на ровном месте"
"609","1","Неоказание услуг"
"610","1","Сбербанк самый жадный"
"611","1","Ужасный банк"
"612","1","Не хотят решать свои проблемы!"
"613","1","Ужасный банк, не советую"
"614","1","Потеряли закладную! Срыв сделок! Проблему решена сегодня."
"615","1","отвратительный банк - монополист"
"616","1","Воровство и хамство"
"617","1","просто шок"
"618","1","Не хотят работать, только когда пишешь отзыв"
"619","1","СБ-ЕСТЬ ПРАВО НА ОШИБКУ!"
"620","1","Жулики и [цензура]"
"621","1","банк не для людей"
"622","1","Сбербанк обворовывает вкладчиков. БЕГИТЕ ОТТУДА. [цензура]."
"623","1","Худшего Банка не встречал"
"624","1","Отвратительный банк"
"625","1","Ужас никогда не связывайтесь со сбербанком"
"626","1","Плохое обслуживание"
"627","1","воры"
"628","1","Украли деньги с карты а банк ничего не может решить"
"629","1","Нет желания обращаться в данную организацию"
"630","1","Сбер существует только для оплаты коммунальных. Больше его ни для чего нет."
"631","1","Худший банк"
"632","1","Развод клиентов"
"633","1","Отвратительный банк"
"634","1","Ужас никогда не связывайтесь со сбербанком"
"635","1","Плохое обслуживание"
"636","1","воры"
"637","1","Украли деньги с карты а банк ничего не может решить"
"638","1","Нет желания обращаться в данную организацию"
"639","1","Сбер существует только для оплаты коммунальных. Больше его ни для чего нет."
"640","1","Худший банк"
"641","1","Развод клиентов"
"642","1","ужас"
